합체,형태소,품사,분류,카운트,절대빈도,
*_x,*,x,BILIBILI2,21,0.000140019,* * * * * * * * * * * * * * * * * * * * * 
+_x,+,x,BILIBILI2,6,4.00053E-05,+ + + + + + 
",_x",",",x,BILIBILI2,20,0.000133351,", , , , , , , , , , , , , , , , , , , , "
-_x,-,x,BILIBILI2,30,0.000200027,- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 
._m,.,m,BILIBILI2,207,0.001380184,. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 
._x,.,x,BILIBILI2,13,8.66782E-05,. . . . . . . . . . . . . 
.._m,..,m,BILIBILI2,6,4.00053E-05,.. .. .. .. .. .. 
..._m,...,m,BILIBILI2,28,0.000186692,... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... 
...._m,....,m,BILIBILI2,5,3.33378E-05,.... .... .... .... .... 
....._m,.....,m,BILIBILI2,1,6.66756E-06,..... 
......_m,......,m,BILIBILI2,7,4.66729E-05,...... ...... ...... ...... ...... ...... ...... 
........_m,........,m,BILIBILI2,1,6.66756E-06,........ 
0.1_m,0.1,m,BILIBILI2,1,6.66756E-06,0.1 
.163._m,.163.,m,BILIBILI2,1,6.66756E-06,.163. 
0.2_m,0.2,m,BILIBILI2,2,1.33351E-05,0.2 0.2 
0.2_m,0.2,m,BILIBILI2,4,2.66702E-05,0.2 0.2 0.2 0.2 
0.42_m,0.42,m,BILIBILI2,1,6.66756E-06,0.42 
0.5_m,0.5,m,BILIBILI2,2,1.33351E-05,0.5 0.5 
0.74_m,0.74,m,BILIBILI2,1,6.66756E-06,0.74 
/_x,/,x,BILIBILI2,477,0.003180424,/ / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / 
0_m,0,m,BILIBILI2,1,6.66756E-06,0 
0_x,0,x,BILIBILI2,1,6.66756E-06,0 
0_m,0,m,BILIBILI2,3,2.00027E-05,0 0 0 
8_m,8,m,BILIBILI2,2,1.33351E-05,8 8 
1_m,1,m,BILIBILI2,7,4.66729E-05,1 1 1 1 1 1 1 
1_x,1,x,BILIBILI2,3,2.00027E-05,1 1 1 
1_m,1,m,BILIBILI2,6,4.00053E-05,1 1 1 1 1 1 
10_m,10,m,BILIBILI2,20,0.000133351,10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 
10.11_m,10.11,m,BILIBILI2,1,6.66756E-06,10.11 
10.3_m,10.3,m,BILIBILI2,4,2.66702E-05,10.3 10.3 10.3 10.3 
100_m,100,m,BILIBILI2,6,4.00053E-05,100 100 100 100 100 100 
1000_m,1000,m,BILIBILI2,2,1.33351E-05,1000 1000 
1030_m,1030,m,BILIBILI2,2,1.33351E-05,1030 1030 
1080_m,1080,m,BILIBILI2,1,6.66756E-06,1080 
11_m,11,m,BILIBILI2,4,2.66702E-05,11 11 11 11 
11.25_m,11.25,m,BILIBILI2,1,6.66756E-06,11.25 
11.26_m,11.26,m,BILIBILI2,1,6.66756E-06,11.26 
1130_m,1130,m,BILIBILI2,1,6.66756E-06,1130 
12_m,12,m,BILIBILI2,16,0.000106681,12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 
12_m,12,m,BILIBILI2,2,1.33351E-05,12 12 
12.7_m,12.7,m,BILIBILI2,1,6.66756E-06,12.7 
12399_m,12399,m,BILIBILI2,3,2.00027E-05,12399 12399 12399 
126_m,126,m,BILIBILI2,1,6.66756E-06,126 
12799159_m,12799159,m,BILIBILI2,1,6.66756E-06,12799159 
1291348941_m,1291348941,m,BILIBILI2,1,6.66756E-06,1291348941 
13_m,13,m,BILIBILI2,6,4.00053E-05,13 13 13 13 13 13 
130_m,130,m,BILIBILI2,1,6.66756E-06,130 
14_m,14,m,BILIBILI2,8,5.33404E-05,14 14 14 14 14 14 14 14 
148_m,148,m,BILIBILI2,1,6.66756E-06,148 
1483724289_m,1483724289,m,BILIBILI2,1,6.66756E-06,1483724289 
149511274_m,149511274,m,BILIBILI2,4,2.66702E-05,149511274 149511274 149511274 149511274 
15_m,15,m,BILIBILI2,5,3.33378E-05,15 15 15 15 15 
152_m,152,m,BILIBILI2,1,6.66756E-06,152 
16_m,16,m,BILIBILI2,6,4.00053E-05,16 16 16 16 16 16 
160_m,160,m,BILIBILI2,1,6.66756E-06,160 
1602668043_m,1602668043,m,BILIBILI2,1,6.66756E-06,1602668043 
1602754085340_m,1.60275E+12,m,BILIBILI2,1,6.66756E-06,1602754085340 
1603307773658_m,1.60331E+12,m,BILIBILI2,3,2.00027E-05,1603307773658 1603307773658 1603307773658 
1603466806327_m,1.60347E+12,m,BILIBILI2,2,1.33351E-05,1603466806327 1603466806327 
1603550654637_m,1.60355E+12,m,BILIBILI2,4,2.66702E-05,1603550654637 1603550654637 1603550654637 1603550654637 
1604035056275_m,1.60404E+12,m,BILIBILI2,2,1.33351E-05,1604035056275 1604035056275 
1604120396586_m,1.60412E+12,m,BILIBILI2,2,1.33351E-05,1604120396586 1604120396586 
16854656_m,16854656,m,BILIBILI2,1,6.66756E-06,16854656 
17_m,17,m,BILIBILI2,3,2.00027E-05,17 17 17 
170_m,170,m,BILIBILI2,3,2.00027E-05,170 170 170 
1700_m,1700,m,BILIBILI2,1,6.66756E-06,1700 
17781217_m,17781217,m,BILIBILI2,3,2.00027E-05,17781217 17781217 17781217 
17930908039954900000_m,1.79309E+19,m,BILIBILI2,1,6.66756E-06,17930908039954900000 
18_m,18,m,BILIBILI2,3,2.00027E-05,18 18 18 
1840_m,1840,m,BILIBILI2,1,6.66756E-06,1840 
19_m,19,m,BILIBILI2,6,4.00053E-05,19 19 19 19 19 19 
190_m,190,m,BILIBILI2,6,4.00053E-05,190 190 190 190 190 190 
1928741098_m,1928741098,m,BILIBILI2,1,6.66756E-06,1928741098 
1945_m,1945,m,BILIBILI2,2,1.33351E-05,1945 1945 
1948_m,1948,m,BILIBILI2,3,2.00027E-05,1948 1948 1948 
1949_m,1949,m,BILIBILI2,2,1.33351E-05,1949 1949 
1950_m,1950,m,BILIBILI2,11,7.33431E-05,1950 1950 1950 1950 1950 1950 1950 1950 1950 1950 1950 
1951_m,1951,m,BILIBILI2,4,2.66702E-05,1951 1951 1951 1951 
1952_m,1952,m,BILIBILI2,1,6.66756E-06,1952 
1954_m,1954,m,BILIBILI2,3,2.00027E-05,1954 1954 1954 
1956_m,1956,m,BILIBILI2,2,1.33351E-05,1956 1956 
1958_m,1958,m,BILIBILI2,4,2.66702E-05,1958 1958 1958 1958 
1960_m,1960,m,BILIBILI2,10,6.66756E-05,1960 1960 1960 1960 1960 1960 1960 1960 1960 1960 
1962_m,1962,m,BILIBILI2,2,1.33351E-05,1962 1962 
1964_m,1964,m,BILIBILI2,2,1.33351E-05,1964 1964 
1965_m,1965,m,BILIBILI2,2,1.33351E-05,1965 1965 
196706893_m,196706893,m,BILIBILI2,1,6.66756E-06,196706893 
197019724_m,197019724,m,BILIBILI2,2,1.33351E-05,197019724 197019724 
1972_m,1972,m,BILIBILI2,2,1.33351E-05,1972 1972 
1974_m,1974,m,BILIBILI2,2,1.33351E-05,1974 1974 
1975_m,1975,m,BILIBILI2,2,1.33351E-05,1975 1975 
1976_m,1976,m,BILIBILI2,2,1.33351E-05,1976 1976 
197653_m,197653,m,BILIBILI2,2,1.33351E-05,197653 197653 
1981_m,1981,m,BILIBILI2,2,1.33351E-05,1981 1981 
1982_m,1982,m,BILIBILI2,2,1.33351E-05,1982 1982 
1983_m,1983,m,BILIBILI2,2,1.33351E-05,1983 1983 
1991_m,1991,m,BILIBILI2,2,1.33351E-05,1991 1991 
1993_m,1993,m,BILIBILI2,2,1.33351E-05,1993 1993 
1995_m,1995,m,BILIBILI2,1,6.66756E-06,1995 
1996_m,1996,m,BILIBILI2,1,6.66756E-06,1996 
1997_m,1997,m,BILIBILI2,1,6.66756E-06,1997 
1998_m,1998,m,BILIBILI2,3,2.00027E-05,1998 1998 1998 
1999_m,1999,m,BILIBILI2,1,6.66756E-06,1999 
2_m,2,m,BILIBILI2,14,9.33458E-05,2 2 2 2 2 2 2 2 2 2 2 2 2 2 
2_x,2,x,BILIBILI2,5,3.33378E-05,2 2 2 2 2 
2_m,2,m,BILIBILI2,6,4.00053E-05,2 2 2 2 2 2 
20_m,20,m,BILIBILI2,46,0.000306708,20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 
200_m,200,m,BILIBILI2,2,1.33351E-05,200 200 
2000_m,2000,m,BILIBILI2,5,3.33378E-05,2000 2000 2000 2000 2000 
2001_m,2001,m,BILIBILI2,1,6.66756E-06,2001 
2002_m,2002,m,BILIBILI2,1,6.66756E-06,2002 
2003_m,2003,m,BILIBILI2,1,6.66756E-06,2003 
2004_m,2004,m,BILIBILI2,1,6.66756E-06,2004 
2005_m,2005,m,BILIBILI2,1,6.66756E-06,2005 
2006_m,2006,m,BILIBILI2,1,6.66756E-06,2006 
2007_m,2007,m,BILIBILI2,2,1.33351E-05,2007 2007 
2008_m,2008,m,BILIBILI2,1,6.66756E-06,2008 
2009_m,2009,m,BILIBILI2,1,6.66756E-06,2009 
2010_m,2010,m,BILIBILI2,1,6.66756E-06,2010 
2011_m,2011,m,BILIBILI2,1,6.66756E-06,2011 
2012_m,2012,m,BILIBILI2,1,6.66756E-06,2012 
2013_m,2013,m,BILIBILI2,2,1.33351E-05,2013 2013 
2014_m,2014,m,BILIBILI2,1,6.66756E-06,2014 
2015_m,2015,m,BILIBILI2,1,6.66756E-06,2015 
2016_m,2016,m,BILIBILI2,1,6.66756E-06,2016 
2017_m,2017,m,BILIBILI2,2,1.33351E-05,2017 2017 
2018_m,2018,m,BILIBILI2,4,2.66702E-05,2018 2018 2018 2018 
2019_m,2019,m,BILIBILI2,1,6.66756E-06,2019 
2020_m,2020,m,BILIBILI2,10,6.66756E-05,2020 2020 2020 2020 2020 2020 2020 2020 2020 2020 
2020.10.30_m,2020.10.30,m,BILIBILI2,1,6.66756E-06,2020.10.30 
21_m,21,m,BILIBILI2,4,2.66702E-05,21 21 21 21 
2233_m,2233,m,BILIBILI2,9,6.0008E-05,2233 2233 2233 2233 2233 2233 2233 2233 2233 
227_m,227,m,BILIBILI2,1,6.66756E-06,227 
233_m,233,m,BILIBILI2,2,1.33351E-05,233 233 
23333_m,23333,m,BILIBILI2,1,6.66756E-06,23333 
23333333_m,23333333,m,BILIBILI2,1,6.66756E-06,23333333 
24_m,24,m,BILIBILI2,1,6.66756E-06,24 
25_m,25,m,BILIBILI2,3,2.00027E-05,25 25 25 
250_m,250,m,BILIBILI2,9,6.0008E-05,250 250 250 250 250 250 250 250 250 
26_m,26,m,BILIBILI2,1,6.66756E-06,26 
26124426_m,26124426,m,BILIBILI2,2,1.33351E-05,26124426 26124426 
265170508_m,265170508,m,BILIBILI2,1,6.66756E-06,265170508 
27_m,27,m,BILIBILI2,2,1.33351E-05,27 27 
28_m,28,m,BILIBILI2,7,4.66729E-05,28 28 28 28 28 28 28 
29_m,29,m,BILIBILI2,18,0.000120016,29 29 29 29 29 29 29 29 29 29 29 29 29 29 29 29 29 29 
3_m,3,m,BILIBILI2,6,4.00053E-05,3 3 3 3 3 3 
3_x,3,x,BILIBILI2,5,3.33378E-05,3 3 3 3 3 
3_m,3,m,BILIBILI2,6,4.00053E-05,3 3 3 3 3 3 
3.7_m,3.7,m,BILIBILI2,2,1.33351E-05,3.7 3.7 
30_m,30,m,BILIBILI2,7,4.66729E-05,30 30 30 30 30 30 30 
300_m,300,m,BILIBILI2,3,2.00027E-05,300 300 300 
3000_m,3000,m,BILIBILI2,3,2.00027E-05,3000 3000 3000 
31_m,31,m,BILIBILI2,2,1.33351E-05,31 31 
315_m,315,m,BILIBILI2,1,6.66756E-06,315 
315657120_m,315657120,m,BILIBILI2,1,6.66756E-06,315657120 
319105353_m,319105353,m,BILIBILI2,1,6.66756E-06,319105353 
333.788._m,333.788.,m,BILIBILI2,7,4.66729E-05,333.788. 333.788. 333.788. 333.788. 333.788. 333.788. 333.788. 
333.851._m,333.851.,m,BILIBILI2,1,6.66756E-06,333.851. 
34_m,34,m,BILIBILI2,28,0.000186692,34 34 34 34 34 34 34 34 34 34 34 34 34 34 34 34 34 34 34 34 34 34 34 34 34 34 34 34 
35_m,35,m,BILIBILI2,1,6.66756E-06,35 
350_m,350,m,BILIBILI2,1,6.66756E-06,350 
36_m,36,m,BILIBILI2,1,6.66756E-06,36 
38_m,38,m,BILIBILI2,5,3.33378E-05,38 38 38 38 38 
39_m,39,m,BILIBILI2,10,6.66756E-05,39 39 39 39 39 39 39 39 39 39 
390_m,390,m,BILIBILI2,1,6.66756E-06,390 
391_m,391,m,BILIBILI2,1,6.66756E-06,391 
395_m,395,m,BILIBILI2,1,6.66756E-06,395 
4_m,4,m,BILIBILI2,14,9.33458E-05,4 4 4 4 4 4 4 4 4 4 4 4 4 4 
4_x,4,x,BILIBILI2,2,1.33351E-05,4 4 
4_m,4,m,BILIBILI2,1,6.66756E-06,4 
40_m,40,m,BILIBILI2,2,1.33351E-05,40 40 
4000_m,4000,m,BILIBILI2,2,1.33351E-05,4000 4000 
41_m,41,m,BILIBILI2,3,2.00027E-05,41 41 41 
427123404_m,427123404,m,BILIBILI2,1,6.66756E-06,427123404 
445653052250178000_m,4.45653E+17,m,BILIBILI2,1,6.66756E-06,445653052250178000 
4500_m,4500,m,BILIBILI2,6,4.00053E-05,4500 4500 4500 4500 4500 4500 
4561375520889980_m,4.56138E+15,m,BILIBILI2,1,6.66756E-06,4561375520889980 
472510070_m,472510070,m,BILIBILI2,2,1.33351E-05,472510070 472510070 
48_m,48,m,BILIBILI2,2,1.33351E-05,48 48 
5_m,5,m,BILIBILI2,16,0.000106681,5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 
5_x,5,x,BILIBILI2,2,1.33351E-05,5 5 
5_m,5,m,BILIBILI2,1,6.66756E-06,5 
5.55_m,5.55,m,BILIBILI2,1,6.66756E-06,5.55 
5.56_m,5.56,m,BILIBILI2,2,1.33351E-05,5.56 5.56 
5.7_m,5.7,m,BILIBILI2,1,6.66756E-06,5.7 
5.8_m,5.8,m,BILIBILI2,1,6.66756E-06,5.8 
50_m,50,m,BILIBILI2,3,2.00027E-05,50 50 50 
5000_m,5000,m,BILIBILI2,4,2.66702E-05,5000 5000 5000 5000 
53_m,53,m,BILIBILI2,1,6.66756E-06,53 
537.7_m,537.7,m,BILIBILI2,1,6.66756E-06,537.7 
5500_m,5500,m,BILIBILI2,1,6.66756E-06,5500 
556_m,556,m,BILIBILI2,1,6.66756E-06,556 
56_m,56,m,BILIBILI2,1,6.66756E-06,56 
597.9_m,597.9,m,BILIBILI2,3,2.00027E-05,597.9 597.9 597.9 
6_m,6,m,BILIBILI2,12,8.00107E-05,6 6 6 6 6 6 6 6 6 6 6 6 
6_x,6,x,BILIBILI2,5,3.33378E-05,6 6 6 6 6 
60_m,60,m,BILIBILI2,1,6.66756E-06,60 
62696_m,62696,m,BILIBILI2,1,6.66756E-06,62696 
636_m,636,m,BILIBILI2,5,3.33378E-05,636 636 636 636 636 
65_m,65,m,BILIBILI2,1,6.66756E-06,65 
67209552_m,67209552,m,BILIBILI2,1,6.66756E-06,67209552 
685_m,685,m,BILIBILI2,1,6.66756E-06,685 
69_m,69,m,BILIBILI2,2,1.33351E-05,69 69 
7_m,7,m,BILIBILI2,10,6.66756E-05,7 7 7 7 7 7 7 7 7 7 
7_x,7,x,BILIBILI2,2,1.33351E-05,7 7 
7.3.28_m,7.3.28,m,BILIBILI2,1,6.66756E-06,7.3.28 
7.62_m,7.62,m,BILIBILI2,1,6.66756E-06,7.62 
70_m,70,m,BILIBILI2,35,0.000233364,70 70 70 70 70 70 70 70 70 70 70 70 70 70 70 70 70 70 70 70 70 70 70 70 70 70 70 70 70 70 70 70 70 70 70 
7159740_m,7159740,m,BILIBILI2,2,1.33351E-05,7159740 7159740 
72_m,72,m,BILIBILI2,1,6.66756E-06,72 
731_m,731,m,BILIBILI2,2,1.33351E-05,731 731 
77_m,77,m,BILIBILI2,1,6.66756E-06,77 
7777777_m,7777777,m,BILIBILI2,1,6.66756E-06,7777777 
8_m,8,m,BILIBILI2,16,0.000106681,8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 
80_m,80,m,BILIBILI2,8,5.33404E-05,80 80 80 80 80 80 80 80 
8084791_m,8084791,m,BILIBILI2,2,1.33351E-05,8084791 8084791 
8090_m,8090,m,BILIBILI2,1,6.66756E-06,8090 
82338821_m,82338821,m,BILIBILI2,2,1.33351E-05,82338821 82338821 
85_m,85,m,BILIBILI2,1,6.66756E-06,85 
87_m,87,m,BILIBILI2,1,6.66756E-06,87 
88_m,88,m,BILIBILI2,2,1.33351E-05,88 88 
89_m,89,m,BILIBILI2,1,6.66756E-06,89 
9_m,9,m,BILIBILI2,8,5.33404E-05,9 9 9 9 9 9 9 9 
90_m,90,m,BILIBILI2,8,5.33404E-05,90 90 90 90 90 90 90 90 
918_m,918,m,BILIBILI2,2,1.33351E-05,918 918 
92_m,92,m,BILIBILI2,2,1.33351E-05,92 92 
94_m,94,m,BILIBILI2,1,6.66756E-06,94 
95_m,95,m,BILIBILI2,7,4.66729E-05,95 95 95 95 95 95 95 
960_m,960,m,BILIBILI2,1,6.66756E-06,960 
97_m,97,m,BILIBILI2,1,6.66756E-06,97 
983_m,983,m,BILIBILI2,2,1.33351E-05,983 983 
:_x,:,x,BILIBILI2,175,0.001166822,: : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : 
;_x,;,x,BILIBILI2,92,0.000613415,; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
=_x,=,x,BILIBILI2,87,0.000580077,= = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = 
